1,0,0,0,0,0
2,1000,24350,34064,28794,0
3,2000,27152,26952,29131,0
4,3000,30817,20597,29153,0
5,4000,34994,15633,28854,0
6,5000,39271,12542,28266,0
7,6000,43231,11633,27443,0
8,7000,46484,13006,26467,0
9,8000,48706,16522,25434,0
10,9000,49678,21841,24445,0
11,10000,49304,28436,23599,0
12,11000,47622,35662,22977,0
13,12000,44797,42798,22642,0
14,13000,41110,49149,22626,0
15,14000,36925,54089,22930,0
16,15000,32653,57139,23523,0
17,16000,28712,58010,24346,0
18,17000,25483,56613,25320,0
19,18000,23281,53099,26348,0
20,19000,22319,47805,27331,0
21,20000,22688,41250,28173,0
22,21000,24352,34062,28794,0
23,22000,27153,26950,29131,0
24,23000,30819,20596,29153,0
25,24000,34995,15632,28854,0
26,25000,39273,12542,28265,0
27,26000,43232,11635,27443,0
28,27000,46484,13008,26467,0
29,28000,48706,16524,25434,0
30,29000,49677,21843,24445,0
31,30000,49303,28439,23599,0
32,31000,47620,35664,22977,0
33,32000,44795,42800,22642,0
34,33000,41109,49150,22626,0
35,34000,36924,54089,22930,0
36,35000,32652,57138,23523,0
37,36000,28711,58008,24346,0
38,37000,25482,56611,25320,0
39,38000,23281,53097,26348,0
40,39000,22320,47802,27331,0
41,40000,22689,41247,28173,0
42,41000,24353,34060,28794,0
43,42000,27155,26948,29131,0
44,43000,30820,20594,29152,0
45,44000,34997,15632,28854,0
46,45000,39274,12543,28265,0
47,46000,43233,11636,27443,0
48,47000,46485,13010,26466,0
49,48000,48706,16527,25433,0
50,49000,49676,21846,24445,0
51,50000,49302,28441,23598,0
52,51000,47619,35667,22977,0
53,52000,44794,42801,22642,0
54,53000,41107,49152,22626,0
55,54000,36922,54089,22930,0
56,55000,32650,57138,23524,0
57,56000,28710,58007,24347,0
58,57000,25482,56609,25321,0
59,58000,23282,53094,26348,0
60,59000,22320,47799,27331,0
61,60000,22690,41244,28173,0
62,61000,24355,34057,28794,0
63,62000,27156,26946,29131,0
64,63000,30822,20593,29152,0
65,64000,34998,15632,28853,0
66,65000,39275,12543,28265,0
67,66000,43234,11637,27442,0
68,67000,46485,13012,26466,0
69,68000,48706,16529,25433,0
70,69000,49676,21849,24445,0
71,70000,49301,28444,23598,0
72,71000,47618,35669,22977,0
73,72000,44792,42803,22642,0
74,73000,41106,49153,22626,0
75,74000,36921,54089,22931,0
76,75000,32649,57137,23524,0
77,76000,28709,58006,24347,0
78,77000,25482,56607,25321,0
79,78000,23282,53092,26349,0
80,79000,22321,47797,27331,0
81,80000,22691,41241,28173,0
82,81000,24356,34055,28794,0
83,82000,27158,26944,29131,0
84,83000,30824,20592,29152,0
85,84000,35000,15631,28853,0
86,85000,39276,12544,28264,0
87,86000,43235,11639,27442,0
88,87000,46485,13014,26466,0
89,88000,48706,16532,25433,0
90,89000,49675,21852,24445,0
91,90000,49300,28447,23598,0
92,91000,47616,35671,22977,0
93,92000,44791,42805,22642,0
94,93000,41104,49154,22627,0
95,94000,36919,54090,22931,0
96,95000,32648,57137,23524,0
97,96000,28709,58004,24347,0
98,97000,25481,56605,25321,0
99,98000,23282,53089,26349,0
100,99000,22322,47794,27332,0
101,100000,22692,41239,28174,0
102,101000,24357,34052,28794,0
103,102000,27160,26942,29130,0
104,103000,30825,20591,29152,0
105,104000,35001,15631,28853,0
106,105000,39278,12544,28264,0
107,106000,43236,11640,27441,0
108,107000,46486,13016,26465,0
109,108000,48705,16534,25433,0
110,109000,49674,21854,24444,0
111,110000,49299,28449,23598,0
112,111000,47615,35674,22977,0
113,112000,44789,42807,22643,0
114,113000,41102,49155,22627,0
115,114000,36918,54090,22931,0
116,115000,32647,57136,23525,0
117,116000,28708,58003,24348,0
118,117000,25481,56603,25322,0
119,118000,23282,53087,26349,0
120,119000,22322,47791,27332,0
121,120000,22693,41236,28174,0
122,121000,24359,34050,28794,0
123,122000,27161,26940,29130,0
124,123000,30827,20590,29151,0
125,124000,35003,15631,28852,0
126,125000,39279,12545,28264,0
127,126000,43237,11641,27441,0
128,127000,46486,13018,26465,0
129,128000,48705,16537,25432,0
130,129000,49674,21857,24444,0
131,130000,49298,28452,23598,0
132,131000,47613,35676,22977,0
133,132000,44788,42809,22643,0
134,133000,41101,49156,22627,0
135,134000,36916,54090,22932,0
136,135000,32646,57136,23525,0
137,136000,28707,58002,24348,0
138,137000,25481,56601,25322,0
139,138000,23282,53084,26350,0
140,139000,22323,47789,27332,0
141,140000,22694,41233,28174,0
142,141000,24360,34048,28794,0
143,142000,27163,26938,29130,0
144,143000,30829,20588,29151,0
145,144000,35004,15630,28852,0
146,145000,39280,12545,28263,0
147,146000,43237,11643,27441,0
148,147000,46486,13020,26465,0
149,148000,48705,16539,25432,0
150,149000,49673,21860,24444,0
151,150000,49296,28455,23598,0
152,151000,47612,35678,22977,0
153,152000,44786,42810,22643,0
154,153000,41099,49157,22627,0
155,154000,36915,54090,22932,0
156,155000,32645,57135,23525,0
157,156000,28706,58000,24349,0
158,157000,25480,56599,25323,0
159,158000,23282,53082,26350,0
160,159000,22323,47786,27332,0
161,160000,22695,41231,28174,0
162,161000,24361,34045,28794,0
163,162000,27164,26936,29130,0
164,163000,30830,20587,29151,0
165,164000,35006,15630,28852,0
166,165000,39281,12546,28263,0
167,166000,43238,11644,27440,0
168,167000,46487,13022,26464,0
169,168000,48705,16542,25432,0
170,169000,49672,21862,24444,0
171,170000,49295,28457,23598,0
172,171000,47611,35681,22977,0
173,172000,44785,42812,22643,0
174,173000,41098,49158,22627,0
175,174000,36914,54091,22932,0
176,175000,32643,57134,23526,0
177,176000,28705,57999,24349,0
178,177000,25480,56597,25323,0
179,178000,23283,53079,26350,0
180,179000,22324,47783,27333,0
181,180000,22696,41228,28174,0
182,181000,24363,34043,28794,0
183,182000,27166,26935,29130,0
184,183000,30832,20586,29151,0
185,184000,35007,15630,28852,0
186,185000,39283,12546,28262,0
187,186000,43239,11645,27440,0
188,187000,46487,13024,26464,0
189,188000,48705,16544,25431,0
190,189000,49672,21865,24443,0
191,190000,49294,28460,23598,0
192,191000,47609,35683,22977,0
193,192000,44783,42814,22643,0
194,193000,41096,49159,22628,0
195,194000,36912,54091,22932,0
196,195000,32642,57134,23526,0
197,196000,28705,57998,24349,0
198,197000,25480,56595,25323,0
199,198000,23283,53077,26351,0
200,199000,22325,47781,27333,0
201,200000,22697,41226,28174,0
202,201000,24364,34041,28794,0
203,202000,27167,26933,29130,0
204,203000,30833,20585,29151,0
205,204000,35009,15629,28851,0
206,205000,39284,12547,28262,0
207,206000,43240,11647,27439,0
208,207000,46488,13026,26463,0
209,208000,48705,16547,25431,0
210,209000,49671,21868,24443,0
211,210000,49293,28462,23597,0
212,211000,47608,35685,22977,0
213,212000,44781,42816,22643,0
214,213000,41095,49160,22628,0
215,214000,36911,54091,22933,0
216,215000,32641,57133,23526,0
217,216000,28704,57996,24350,0
218,217000,25479,56593,25324,0
219,218000,23283,53075,26351,0
220,219000,22325,47778,27333,0
221,220000,22698,41223,28174,0
222,221000,24366,34038,28794,0
